strategy,run,agentCount,elapsedTimeSeconds,initialTrashMass,collectedTrashMass,remainingTrashMass,collectionRate,totalTravelDistanceMeters,totalIdleTimeSeconds,midpointIdleRate,averageZoneImbalance,finalZoneImbalance,allTrashCollected
random,0,20,1800.0,1410,1174,236,0.8326241134751773,40455.59655416899,0.0,0.014705882352941176,1496.0608492193953,275.1682666666666,False
trash_priority,0,20,1800.0,1410,1137,273,0.8063829787234043,40574.97731041484,0.0,0.013762486126526082,722.7256841949102,377.9835239973702,False
uniform,0,20,1800.0,1410,1221,189,0.8659574468085106,40263.37320407329,0.0,0.01681465038845727,1717.3037175528584,244.5555358024691,False
random,1,20,1800.0,1340,1108,232,0.826865671641791,40381.73398228838,0.0,0.016648168701442843,1171.7968248049208,264.5472222222222,False
trash_priority,1,20,1800.0,1340,1048,292,0.7820895522388059,40596.39797717567,0.0,0.014039955604883463,419.8202270427341,423.54595555555557,False
uniform,1,20,1800.0,1340,1168,172,0.8716417910447761,40156.11601773867,0.0,0.017980022197558267,1240.6874675352676,81.46522045855379,False
random,2,20,1800.0,1417,1084,333,0.7649964714184898,40622.23076423575,0.0,0.014650388457269702,1532.3932785052457,711.9242953168044,False
trash_priority,2,20,1800.0,1417,1117,300,0.7882851093860268,40579.095615602055,0.0,0.013096559378468368,628.0227541437885,197.76222222222222,False
uniform,2,20,1800.0,1417,1137,280,0.8023994354269584,40423.989400644496,0.0,0.015205327413984462,1559.3562343628905,373.73334603174607,False
random,3,20,1800.0,1284,972,312,0.7570093457943925,40600.071919626025,0.0,0.016315205327413984,1922.8296019124455,982.8893055555556,False
trash_priority,3,20,1800.0,1284,1061,223,0.8263239875389408,40320.47660352023,0.0,0.01564927857935627,622.6811167078939,234.64055555555555,False
uniform,3,20,1800.0,1284,997,287,0.7764797507788161,40492.04016170248,0.0,0.013651498335183131,1343.2050895361067,311.9718055555556,False
random,4,20,1800.0,1347,1124,223,0.8344469190794358,40451.808954738466,0.0,0.012874583795782463,1017.8669008925899,111.46350088183421,False
trash_priority,4,20,1800.0,1347,1061,286,0.7876763177431328,40540.829453005805,0.0,0.013318534961154272,423.8884596758088,260.34722222222223,False
uniform,4,20,1800.0,1347,1138,209,0.8448403860430587,40325.24750582634,0.0,0.015316315205327415,1176.037040542536,107.50617283950618,False
random,5,20,1800.0,1297,918,379,0.707787201233616,40583.806956786415,0.0,0.014428412874583796,1710.158406525714,708.3092194674012,False
trash_priority,5,20,1800.0,1297,1040,257,0.8018504240555128,40500.131406260436,0.0,0.013429522752497225,457.54619369783444,339.5009598948061,False
uniform,5,20,1800.0,1297,1126,171,0.8681572860447185,40244.05207257316,0.0,0.015760266370699223,1292.9484673471136,33.20360670194003,False
random,6,20,1800.0,1298,976,322,0.7519260400616333,40635.079726627315,0.0,0.017591564927857937,2278.3908898872733,321.5771555555555,False
trash_priority,6,20,1800.0,1298,1090,208,0.8397534668721109,40363.434973569296,0.0,0.014872364039955606,624.6910718016227,454.2075574759945,False
uniform,6,20,1800.0,1298,1072,226,0.8258859784283513,40356.42140383811,0.0,0.01598224195338513,1437.8116036513725,138.86233196159122,False
random,7,20,1800.0,1277,1053,224,0.8245888801879405,40429.68293197218,0.0,0.01592674805771365,956.0326849935744,472.5544395061728,False
trash_priority,7,20,1800.0,1277,1008,269,0.7893500391542678,40523.31313039673,0.0,0.013152053274139845,600.3265329023006,285.7999089163238,False
uniform,7,20,1800.0,1277,1067,210,0.8355520751761942,40350.10608242428,0.0,0.014428412874583796,1117.5764759927713,99.60286031746031,False
random,8,20,1800.0,1281,951,330,0.7423887587822015,40591.13161855451,0.0,0.013096559378468368,1392.8253728939314,627.6,False
trash_priority,8,20,1800.0,1281,1031,250,0.804839968774395,40468.7218053563,0.0,0.01564927857935627,506.4335028006193,301.3205555555556,False
uniform,8,20,1800.0,1281,1066,215,0.8321623731459797,40282.05771206778,0.0,0.018035516093229745,1175.311734197002,123.17376543209875,False
random,9,20,1800.0,1357,915,442,0.6742815033161386,40982.38723944138,0.0,0.012708102108768037,2961.945344826127,1420.3222222222223,False
trash_priority,9,20,1800.0,1357,1077,280,0.793662490788504,40576.42987843816,0.0,0.011764705882352941,597.5816964459376,434.7320987654321,False
uniform,9,20,1800.0,1357,1114,243,0.8209285187914517,40399.89793417245,0.0,0.015815760266370698,1606.009826917852,399.23333333333335,False
