strategy,run,timeSeconds,remainingTrashMass,remainingTrashCount,collectionRate,idleAgentCount,idleAgentRate,zoneImbalance
random,0,0.0,1714,1464,0.0,20,1.0,4846.74609375
random,0,1.0,1714,1464,0.0,2,0.1,4846.74609375
random,0,2.0,1714,1464,0.0,2,0.1,4846.74609375
random,0,3.0,1714,1464,0.0,2,0.1,4846.74609375
random,0,4.0,1714,1464,0.0,2,0.1,4846.74609375
random,0,5.0,1714,1464,0.0,2,0.1,4846.74609375
random,0,6.0,1714,1464,0.0,2,0.1,4846.74609375
random,0,7.0,1713,1463,0.0005834305717619115,3,0.15,4843.2958984375
random,0,8.0,1712,1462,0.001166861143523934,3,0.15,4845.90625
random,0,9.0,1707,1458,0.0040840140023337135,6,0.3,4853.005615234375
random,0,10.0,1669,1420,0.026254375729288237,4,0.2,4834.368815104167
random,0,11.0,1668,1419,0.02683780630105015,3,0.15,4957.176649305556
random,0,12.0,1668,1419,0.02683780630105015,2,0.1,4669.201388888889
random,0,13.0,1666,1418,0.028004667444574083,3,0.15,4675.123263888889
random,0,14.0,1666,1418,0.028004667444574083,2,0.1,4675.123263888889
random,0,15.0,1663,1415,0.02975495915985993,4,0.2,4673.770399305556
random,0,16.0,1661,1413,0.030921820303383862,3,0.15,4676.794704861111
random,0,17.0,1659,1411,0.032088681446907796,4,0.2,4679.87109375
random,0,18.0,1657,1410,0.03325554259043173,3,0.15,4696.146240234375
random,0,19.0,1655,1408,0.034422403733955664,3,0.15,4695.282958984375
random,0,20.0,1655,1408,0.034422403733955664,2,0.1,4695.282958984375
random,0,21.0,1655,1408,0.034422403733955664,2,0.1,4695.282958984375
random,0,22.0,1653,1406,0.0355892648774796,4,0.2,4697.254313151041
random,0,23.0,1652,1405,0.03617269544924151,3,0.15,4697.385823567708
random,0,24.0,1648,1403,0.03850641773628938,3,0.15,4715.329833984375
random,0,25.0,1645,1400,0.04025670945157522,4,0.2,4710.516248914931
random,0,26.0,1642,1398,0.04200700116686118,4,0.2,4714.402967664931
random,0,27.0,1641,1397,0.04259043173862309,3,0.15,4714.541639539931
random,0,28.0,1641,1397,0.04259043173862309,2,0.1,4714.541639539931
random,0,29.0,1641,1397,0.04259043173862309,2,0.1,4714.541639539931
random,0,30.0,1640,1396,0.043173862310385114,3,0.15,4714.709608289931
random,0,31.0,1640,1396,0.043173862310385114,2,0.1,4714.709608289931
random,0,32.0,1639,1395,0.043757292882147025,3,0.15,4714.303141276041
random,0,33.0,1639,1395,0.043757292882147025,2,0.1,4714.303141276041
random,0,34.0,1638,1394,0.04434072345390894,3,0.15,4716.5615234375
random,0,35.0,1637,1393,0.04492415402567096,3,0.15,4721.100260416666
random,0,36.0,1637,1393,0.04492415402567096,2,0.1,4721.100260416666
random,0,37.0,1635,1391,0.04609101516919489,4,0.2,4720.322482638889
random,0,38.0,1635,1391,0.04609101516919489,2,0.1,4720.322482638889
random,0,39.0,1635,1391,0.04609101516919489,2,0.1,4720.322482638889
random,0,40.0,1632,1388,0.04784130688448074,5,0.25,4723.994791666667
random,0,41.0,1628,1384,0.05017502917152861,4,0.2,4705.489583333334
random,0,42.0,1628,1384,0.05017502917152861,2,0.1,4705.489583333334
random,0,43.0,1628,1384,0.05017502917152861,2,0.1,4705.489583333334
random,0,44.0,1626,1383,0.05134189031505254,3,0.15,4708.605902777777
random,0,45.0,1624,1381,0.052508751458576475,4,0.2,4710.265516493055
random,0,46.0,1623,1380,0.053092182030338386,3,0.15,4710.950412326389
random,0,47.0,1623,1380,0.053092182030338386,2,0.1,4710.950412326389
random,0,48.0,1623,1380,0.053092182030338386,2,0.1,4710.950412326389
random,0,49.0,1622,1379,0.0536756126021003,3,0.15,4710.621419270834
random,0,50.0,1622,1379,0.0536756126021003,2,0.1,4710.621419270834
random,0,51.0,1621,1378,0.05425904317386232,3,0.15,4710.787760416667
random,0,52.0,1621,1378,0.05425904317386232,2,0.1,4710.787760416667
random,0,53.0,1618,1377,0.056009334889148166,3,0.15,4713.526041666667
random,0,54.0,1618,1377,0.056009334889148166,2,0.1,4713.526041666667
random,0,55.0,1616,1376,0.0571761960326721,3,0.15,4678.937500000001
random,0,56.0,1614,1374,0.058343057176196034,4,0.2,4683.581597222222
random,0,57.0,1614,1374,0.058343057176196034,3,0.15,4683.581597222222
random,0,58.0,1614,1374,0.058343057176196034,3,0.15,4683.581597222222
random,0,59.0,1614,1374,0.058343057176196034,3,0.15,4683.581597222222
random,0,60.0,1611,1371,0.06009334889148188,5,0.25,4685.614149305557
random,0,61.0,1611,1371,0.06009334889148188,3,0.15,4685.614149305557
random,0,62.0,1611,1371,0.06009334889148188,3,0.15,4685.614149305557
random,0,63.0,1611,1371,0.06009334889148188,3,0.15,4685.614149305557
random,0,64.0,1609,1369,0.06126021003500581,5,0.25,4688.689127604167
random,0,65.0,1607,1368,0.06242707117852975,5,0.25,4691.509440104167
random,0,66.0,1606,1367,0.06301050175029177,5,0.25,4687.470377604167
random,0,67.0,1603,1366,0.06476079346557762,5,0.25,4686.5068359375
random,0,68.0,1602,1365,0.06534422403733953,5,0.25,4688.058919270833
random,0,69.0,1602,1365,0.06534422403733953,4,0.2,4688.058919270833
random,0,70.0,1602,1365,0.06534422403733953,4,0.2,4688.058919270833
random,0,71.0,1602,1365,0.06534422403733953,4,0.2,4688.058919270833
random,0,72.0,1602,1365,0.06534422403733953,4,0.2,4688.058919270833
random,0,73.0,1601,1364,0.06592765460910155,5,0.25,4687.76291232639
random,0,74.0,1601,1364,0.06592765460910155,4,0.2,4687.76291232639
random,0,75.0,1600,1363,0.06651108518086346,5,0.25,4683.828016493056
random,0,76.0,1600,1363,0.06651108518086346,4,0.2,4683.828016493056
random,0,77.0,1600,1363,0.06651108518086346,4,0.2,4683.828016493056
random,0,78.0,1596,1359,0.06884480746791133,5,0.25,4682.763780381944
random,0,79.0,1581,1345,0.07759626604434078,5,0.25,4680.628363715278
random,0,80.0,1581,1345,0.07759626604434078,4,0.2,4785.039035373265
random,0,81.0,1579,1343,0.0787631271878646,6,0.3,4763.430962456598
random,0,82.0,1579,1343,0.0787631271878646,5,0.25,4763.430962456598
random,0,83.0,1578,1342,0.07934655775962662,6,0.3,4763.493245442708
random,0,84.0,1575,1339,0.08109684947491247,8,0.4,4767.887776692708
random,0,85.0,1574,1338,0.08168028004667449,6,0.3,4763.307698567708
random,0,86.0,1574,1338,0.08168028004667449,5,0.25,4763.307698567708
random,0,87.0,1574,1338,0.08168028004667449,5,0.25,4763.307698567708
random,0,88.0,1574,1338,0.08168028004667449,5,0.25,4763.307698567708
random,0,89.0,1574,1338,0.08168028004667449,5,0.25,4763.307698567708
random,0,90.0,1574,1338,0.08168028004667449,5,0.25,4763.307698567708
random,0,91.0,1568,1332,0.08518086347724618,8,0.4,4766.269070095485
random,0,92.0,1567,1331,0.0857642940490082,7,0.35,4767.584092881944
random,0,93.0,1563,1329,0.08809801633605596,7,0.35,4775.870551215277
random,0,94.0,1561,1327,0.0892648774795799,8,0.4,4777.292941623265
random,0,95.0,1561,1327,0.0892648774795799,6,0.3,4777.292941623265
random,0,96.0,1561,1327,0.0892648774795799,6,0.3,4058.5624728732646
random,0,97.0,1561,1327,0.0892648774795799,6,0.3,4058.5624728732646
random,0,98.0,1560,1326,0.08984830805134192,7,0.35,4060.594373914931
random,0,99.0,1560,1326,0.08984830805134192,6,0.3,4060.594373914931
random,0,100.0,1560,1326,0.08984830805134192,6,0.3,4060.594373914931
random,0,101.0,1560,1326,0.08984830805134192,6,0.3,4060.594373914931
random,0,102.0,1557,1324,0.09159859976662776,8,0.4,4062.769070095486
random,0,103.0,1557,1324,0.09159859976662776,6,0.3,4062.769070095486
random,0,104.0,1557,1324,0.09159859976662776,6,0.3,4062.769070095486
random,0,105.0,1555,1323,0.0927654609101517,7,0.35,4053.1583930121524
random,0,106.0,1554,1322,0.09334889148191361,7,0.35,4049.153835720486
random,0,107.0,1514,1302,0.11668611435239207,7,0.35,4028.6720648871524
random,0,108.0,1473,1281,0.14060676779463244,8,0.4,4056.9904242621524
random,0,109.0,1472,1280,0.14119019836639435,7,0.35,4058.138454861111
random,0,110.0,1470,1278,0.14235705950991828,8,0.4,4053.8433159722226
random,0,111.0,1470,1278,0.14235705950991828,6,0.3,4053.8433159722226
random,0,112.0,1470,1278,0.14235705950991828,6,0.3,4053.8433159722226
random,0,113.0,1469,1277,0.1429404900816803,7,0.35,4054.996066623264
random,0,114.0,1469,1277,0.1429404900816803,6,0.3,4054.996066623264
random,0,115.0,1469,1277,0.1429404900816803,6,0.3,4054.996066623264
random,0,116.0,1468,1276,0.14352392065344222,7,0.35,4085.0869954427085
random,0,117.0,1466,1275,0.14469078179696615,7,0.35,4077.5576985677085
random,0,118.0,1466,1275,0.14469078179696615,6,0.3,4077.5576985677085
random,0,119.0,1466,1275,0.14469078179696615,6,0.3,4077.5576985677085
random,0,120.0,1464,1274,0.14585764294049008,7,0.35,4081.7491048177085
random,0,121.0,1461,1272,0.14760793465577593,8,0.4,4084.0418565538193
random,0,122.0,1458,1269,0.1493582263710619,7,0.35,4072.0633409288193
random,0,123.0,1458,1269,0.1493582263710619,6,0.3,4072.0633409288193
random,0,124.0,1458,1269,0.1493582263710619,6,0.3,4088.073676215277
random,0,125.0,1458,1269,0.1493582263710619,6,0.3,4088.073676215277
random,0,126.0,1458,1269,0.1493582263710619,6,0.3,4088.073676215277
random,0,127.0,1457,1268,0.1499416569428238,7,0.35,4088.563991970486
random,0,128.0,1457,1268,0.1499416569428238,6,0.3,4072.0058322482646
random,0,129.0,1457,1268,0.1499416569428238,6,0.3,4072.0058322482646
random,0,130.0,1456,1267,0.1505250875145857,7,0.35,4066.994764539931
random,0,131.0,1456,1267,0.1505250875145857,6,0.3,4066.994764539931
random,0,132.0,1453,1264,0.15227537922987167,8,0.4,4070.555555555556
random,0,133.0,1453,1264,0.15227537922987167,6,0.3,4070.555555555556
random,0,134.0,1451,1262,0.1534422403733956,8,0.4,4038.3660753038193
random,0,135.0,1451,1262,0.1534422403733956,6,0.3,4038.3660753038193
random,0,136.0,1451,1262,0.1534422403733956,6,0.3,4038.3660753038193
random,0,137.0,1451,1262,0.1534422403733956,6,0.3,4038.3660753038193
random,0,138.0,1450,1261,0.1540256709451575,7,0.35,4033.5255805121524
random,0,139.0,1450,1261,0.1540256709451575,6,0.3,4033.5255805121524
random,0,140.0,1450,1261,0.1540256709451575,6,0.3,4033.5255805121524
random,0,141.0,1448,1259,0.15519253208868145,8,0.4,4035.1649305555566
random,0,142.0,1445,1256,0.1569428238039673,8,0.4,4028.6766493055557
random,0,143.0,1445,1256,0.1569428238039673,6,0.3,4028.6766493055557
random,0,144.0,1445,1256,0.1569428238039673,6,0.3,4028.6766493055557
random,0,145.0,1444,1255,0.1575262543757293,7,0.35,4029.803819444444
random,0,146.0,1444,1255,0.1575262543757293,6,0.3,4029.803819444444
random,0,147.0,1444,1255,0.1575262543757293,6,0.3,4029.803819444444
random,0,148.0,1442,1254,0.15869311551925325,7,0.35,4035.5416666666665
random,0,149.0,1439,1252,0.1604434072345391,9,0.45,4038.3495822482646
random,0,150.0,1439,1252,0.1604434072345391,7,0.35,4038.3495822482646
random,0,151.0,1439,1252,0.1604434072345391,7,0.35,4038.3495822482646
random,0,152.0,1439,1252,0.1604434072345391,7,0.35,4038.3495822482646
random,0,153.0,1436,1251,0.16219369894982494,8,0.4,4041.880181206598
random,0,154.0,1436,1251,0.16219369894982494,7,0.35,4041.880181206598
random,0,155.0,1436,1251,0.16219369894982494,7,0.35,4041.880181206598
random,0,156.0,1436,1251,0.16219369894982494,7,0.35,2984.976752387153
random,0,157.0,1435,1250,0.16277712952158696,8,0.4,2978.026882595486
random,0,158.0,1434,1249,0.16336056009334887,8,0.4,2978.5030381944443
random,0,159.0,1434,1249,0.16336056009334887,7,0.35,2978.5030381944443
random,0,160.0,1434,1249,0.16336056009334887,7,0.35,2978.5030381944443
random,0,161.0,1432,1248,0.1645274212368728,8,0.4,2964.950954861111
random,0,162.0,1432,1248,0.1645274212368728,7,0.35,2964.950954861111
random,0,163.0,1431,1247,0.16511085180863472,8,0.4,2965.4305284288193
random,0,164.0,1431,1247,0.16511085180863472,7,0.35,2965.4305284288193
random,0,165.0,1428,1246,0.16686114352392067,8,0.4,2945.9754503038193
random,0,166.0,1428,1246,0.16686114352392067,7,0.35,2945.9754503038193
random,0,167.0,1428,1246,0.16686114352392067,7,0.35,2945.9754503038193
random,0,168.0,1428,1246,0.16686114352392067,7,0.35,2945.9754503038193
random,0,169.0,1425,1243,0.16861143523920652,8,0.4,2947.4405381944443
random,0,170.0,1425,1243,0.16861143523920652,7,0.35,2947.4405381944443
random,0,171.0,1424,1242,0.16919486581096854,8,0.4,2942.684027777778
random,0,172.0,1424,1242,0.16919486581096854,7,0.35,2942.684027777778
random,0,173.0,1424,1242,0.16919486581096854,7,0.35,2942.684027777778
random,0,174.0,1423,1241,0.16977829638273045,8,0.4,2943.185085720486
random,0,175.0,1421,1239,0.1709451575262544,9,0.45,2939.050238715278
random,0,176.0,1421,1239,0.1709451575262544,7,0.35,2939.050238715278
random,0,177.0,1421,1239,0.1709451575262544,7,0.35,2939.050238715278
random,0,178.0,1421,1239,0.1709451575262544,7,0.35,2939.050238715278
random,0,179.0,1419,1237,0.17211201866977832,9,0.45,2935.0359971788193
random,0,180.0,1418,1236,0.17269544924154023,8,0.4,2935.555121527778
random,0,181.0,1418,1236,0.17269544924154023,7,0.35,2968.107204861111
random,0,182.0,1418,1236,0.17269544924154023,7,0.35,2985.180121527778
random,0,183.0,1414,1232,0.1750291715285881,11,0.55,2978.980902777778
random,0,184.0,1414,1232,0.1750291715285881,7,0.35,2978.980902777778
random,0,185.0,1414,1232,0.1750291715285881,7,0.35,2978.980902777778
random,0,186.0,1412,1231,0.17619603267211204,8,0.4,2980.2169053819443
random,0,187.0,1411,1230,0.17677946324387395,8,0.4,2974.276801215278
random,0,188.0,1411,1230,0.17677946324387395,7,0.35,2974.276801215278
random,0,189.0,1411,1230,0.17677946324387395,7,0.35,2974.276801215278
