strategy,run,agentCount,elapsedTimeSeconds,initialTrashMass,collectedTrashMass,remainingTrashMass,collectionRate,totalTravelDistanceMeters,totalIdleTimeSeconds,midpointIdleRate,averageZoneImbalance,finalZoneImbalance,allTrashCollected
random,0,20,1723.0,1410,1410,0,1.0,37757.451788671635,1.0,0.005218446601941747,899.4203006530943,0.0,True
trash_priority,0,20,1486.0,1410,1410,0,1.0,32086.004014191785,7.0,0.007666098807495741,497.15850876004015,0.0,True
uniform,0,20,833.0,1410,1410,0,1.0,16377.622086297884,0.0,0.0,1056.2084823534822,0.0,True
random,1,20,1346.0,1340,1340,0,1.0,28694.870904071282,1.0,0.010961968680089485,940.501558938734,0.0,True
trash_priority,1,20,1340.0,1340,1340,0,1.0,28597.631558470046,18.0,0.011224489795918368,263.32828434371265,0.0,True
uniform,1,20,971.0,1340,1340,0,1.0,19676.469184429046,4.0,0.005555555555555556,1177.5132279150055,0.0,True
random,2,20,1133.0,1417,1417,0,1.0,23523.584438873248,9.0,0.011538461538461539,1256.8980894610147,0.0,True
trash_priority,2,20,1439.0,1417,1417,0,1.0,30919.906679306325,16.0,0.004166666666666667,215.79236081712241,0.0,True
uniform,2,20,1130.0,1417,1417,0,1.0,23493.70726581377,10.0,0.00909090909090909,824.1877930442238,0.0,True
random,3,20,1446.0,1284,1284,0,1.0,31069.267404376045,7.0,0.005941499085923218,836.4405410860804,0.0,True
trash_priority,3,20,1514.0,1284,1284,0,1.0,32739.310824507513,5.0,0.004146341463414634,318.68192967953905,0.0,True
uniform,3,20,1185.0,1284,1284,0,1.0,24792.322457148315,16.0,0.0034965034965034965,615.0710009555152,0.0,True
random,4,20,1089.0,1347,1347,0,1.0,22549.716119711942,3.0,0.008947368421052631,731.9486700562209,0.0,True
trash_priority,4,20,1418.0,1347,1347,0,1.0,30439.437027979828,18.0,0.0064547206165703275,297.0302215597793,0.0,True
uniform,4,20,1113.0,1347,1347,0,1.0,23108.089228864363,14.0,0.0044392523364485985,635.1251320829723,0.0,True
random,5,20,1405.0,1297,1297,0,1.0,30071.94597048408,7.0,0.008102766798418974,827.0959372944221,0.0,True
trash_priority,5,20,1551.0,1297,1297,0,1.0,33629.523510025836,4.0,0.007208588957055215,474.47550001470967,0.0,True
uniform,5,20,1800.0,1297,1245,52,0.9599074787972244,39631.397284087565,0.0,0.003940066592674806,793.5719332769328,1.3904866850321398,False
random,6,20,1254.0,1298,1298,0,1.0,26493.636166083892,1.0,0.00619718309859155,1234.3576238948438,0.0,True
trash_priority,6,20,1412.0,1298,1298,0,1.0,30282.715879416824,15.0,0.008966861598440547,408.3164038695249,0.0,True
uniform,6,20,995.0,1298,1298,0,1.0,20254.784791245216,18.0,0.0171875,932.4572954377753,0.0,True
random,7,20,1174.0,1277,1277,0,1.0,24546.51913129519,17.0,0.0041818181818181815,386.9314737672041,0.0,True
trash_priority,7,20,1522.0,1277,1277,0,1.0,32934.250263772905,7.0,0.006982343499197433,206.45234111359042,0.0,True
uniform,7,20,1040.0,1277,1277,0,1.0,21341.861762008495,3.0,0.016312056737588655,617.4947700059984,0.0,True
random,8,20,1019.0,1281,1281,0,1.0,20848.690345133014,9.0,0.02041666666666667,1306.676479131883,0.0,True
trash_priority,8,20,1500.0,1281,1281,0,1.0,32394.24165811729,16.0,0.005823627287853577,265.83954843250575,0.0,True
uniform,8,20,916.0,1281,1281,0,1.0,18324.784117116178,13.0,0.06470588235294118,839.0964363359399,0.0,True
random,9,20,1800.0,1357,1307,50,0.9631540162122328,39651.21624923635,0.0,0.006159822419533851,1583.3572909607014,17.283950617283953,False
trash_priority,9,20,1648.0,1357,1357,0,1.0,35975.13964574892,16.0,0.0051401869158878505,526.9172142093398,0.0,True
uniform,9,20,984.0,1357,1357,0,1.0,19965.191060257952,19.0,0.029411764705882353,1020.9203020585858,0.0,True
